class_id,status,elapsed_ms,candidate_count,detail
1,difference_existing_test,1025,5,candidate_index=0;method1=OK;method2=OK
2,difference_existing_test,1283,114,candidate_index=0;method1=OK;method2=OK
3,no_counterexample_found,1350,125,
4,difference_existing_test,999,10,candidate_index=0;method1=OK;method2=EX
5,difference_existing_test,1032,10,candidate_index=0;method1=OK;method2=EX
6,no_counterexample_found,1024,10,
7,difference_existing_test,1051,10,candidate_index=0;method1=OK;method2=OK
8,difference_existing_test,1043,10,candidate_index=0;method1=OK;method2=OK
9,difference_existing_test,1049,10,candidate_index=0;method1=OK;method2=OK
10,difference_existing_test,1206,10,candidate_index=0;method1=OK;method2=OK
11,difference_existing_test,1106,10,candidate_index=0;method1=OK;method2=OK
12,difference_existing_test,1118,10,candidate_index=0;method1=OK;method2=OK
13,difference_existing_test,1146,10,candidate_index=0;method1=OK;method2=OK
14,difference_existing_test,1097,10,candidate_index=0;method1=OK;method2=OK
15,no_counterexample_found,1088,10,
16,difference_existing_test,1478,10,candidate_index=0;method1=OK;method2=OK
17,no_counterexample_found,1170,10,
18,no_counterexample_found,1138,10,
19,no_counterexample_found,1154,10,
20,no_counterexample_found,1136,10,
21,no_counterexample_found,1231,10,
22,no_counterexample_found,1144,10,
23,no_counterexample_found,1209,10,
24,no_counterexample_found,1273,10,
25,no_counterexample_found,1039,10,
26,difference_existing_test,983,10,candidate_index=0;method1=OK;method2=OK
27,no_counterexample_found,1033,10,
28,no_counterexample_found,986,10,
29,no_counterexample_found,965,10,
30,no_counterexample_found,997,10,
31,no_counterexample_found,984,10,
32,difference_existing_test,975,10,candidate_index=0;method1=OK;method2=OK
33,difference_existing_test,979,10,candidate_index=0;method1=OK;method2=OK
34,difference_existing_test,1017,10,candidate_index=0;method1=OK;method2=OK
35,difference_existing_test,1065,10,candidate_index=0;method1=OK;method2=OK
36,difference_existing_test,999,10,candidate_index=0;method1=OK;method2=OK
37,no_counterexample_found,969,10,
38,no_counterexample_found,1077,10,
39,no_counterexample_found,1326,10,
40,no_counterexample_found,1008,10,
41,no_counterexample_found,973,10,
42,no_counterexample_found,1031,10,
43,no_counterexample_found,983,10,
44,no_counterexample_found,986,10,
45,no_counterexample_found,970,10,
46,no_counterexample_found,979,10,
47,no_counterexample_found,967,10,
48,no_counterexample_found,957,10,
49,no_counterexample_found,953,10,
50,no_counterexample_found,980,10,
51,no_counterexample_found,969,10,
52,no_counterexample_found,964,10,
53,difference_existing_test,978,5,candidate_index=3;method1=OK;method2=OK
54,no_counterexample_found,1153,50,
55,no_counterexample_found,1157,50,
56,no_counterexample_found,1143,50,
57,no_counterexample_found,1112,45,
58,no_counterexample_found,1140,45,
59,no_counterexample_found,1100,45,
60,no_counterexample_found,1131,45,
61,no_counterexample_found,1098,50,
62,no_counterexample_found,1170,50,
63,no_counterexample_found,1113,45,
64,no_counterexample_found,1111,50,
65,no_counterexample_found,1139,50,
66,no_counterexample_found,1148,50,
67,no_counterexample_found,1159,45,
68,no_counterexample_found,1057,8,
69,no_counterexample_found,1147,45,
70,no_counterexample_found,1142,45,
71,no_counterexample_found,1059,45,
72,no_counterexample_found,999,30,
73,difference_existing_test,985,9,candidate_index=0;method1=OK;method2=OK
74,difference_existing_test,982,9,candidate_index=4;method1=OK;method2=OK
75,no_counterexample_found,1179,125,
76,no_counterexample_found,1175,125,
77,no_counterexample_found,1161,125,
78,difference_existing_test,1504,367,candidate_index=0;method1=OK;method2=OK
79,difference_existing_test,1539,367,candidate_index=0;method1=OK;method2=OK
80,no_counterexample_found,1537,367,
81,no_counterexample_found,1587,367,
82,no_counterexample_found,1554,367,
83,difference_existing_test,1497,367,candidate_index=0;method1=OK;method2=OK
84,difference_existing_test,1541,367,candidate_index=0;method1=OK;method2=OK
85,difference_existing_test,1509,367,candidate_index=0;method1=OK;method2=OK
86,difference_existing_test,1463,367,candidate_index=0;method1=OK;method2=OK
87,no_counterexample_found,1541,367,
88,difference_existing_test,1470,367,candidate_index=1;method1=OK;method2=OK
89,difference_existing_test,1142,125,candidate_index=0;method1=OK;method2=OK
90,difference_existing_test,1146,125,candidate_index=0;method1=OK;method2=OK
91,no_counterexample_found,1164,125,
92,difference_existing_test,1152,125,candidate_index=1;method1=OK;method2=OK
93,difference_existing_test,1151,125,candidate_index=1;method1=OK;method2=OK
94,difference_existing_test,1073,55,candidate_index=0;method1=OK;method2=OK
95,no_counterexample_found,1107,55,
96,difference_existing_test,1088,55,candidate_index=0;method1=OK;method2=OK
97,no_counterexample_found,1166,100,
98,no_counterexample_found,1179,125,
99,no_counterexample_found,1090,35,
100,no_counterexample_found,1231,265,
101,no_counterexample_found,1174,125,
102,no_counterexample_found,1157,125,
103,no_counterexample_found,1168,125,
104,difference_existing_test,1155,125,candidate_index=33;method1=OK;method2=OK
105,difference_existing_test,1129,125,candidate_index=33;method1=OK;method2=OK
106,difference_existing_test,1120,125,candidate_index=33;method1=OK;method2=OK
107,no_counterexample_found,1184,125,
108,no_counterexample_found,1171,125,
109,no_counterexample_found,1158,125,
110,no_counterexample_110,error,34714193,125,"Command '['java', '-ea', '-cp', 'C:\\Users\\yoshi\\AppData\\Local\\Temp\\clonepair-110-equiv-8qrold5w', 'all.ClonePair110EquivalenceOracle']' timed out after 20 seconds"
und,1170,125,
116,difference_existing_test,1150,125,candidate_index=5;method1=OK;method2=OK
117,no_counterexample_found,1185,125,
118,no_counterexample_found,1206,125,
119,no_counterexample_found,1173,125,
120,no_counterexample_found,1159,125,
121,no_counterexample_found,1238,125,
122,no_counterexample_found,1146,125,
123,no_counterexample_found,1166,125,
124,no_counterexample_found,1154,125,
125,no_counterexample_found,1066,50,
126,no_counterexample_found,1113,50,
127,no_counterexample_found,1099,50,
128,no_counterexample_found,1081,50,
129,no_counterexample_found,1185,125,
130,no_counterexample_found,1173,125,
131,difference_existing_test,1202,125,candidate_index=47;method1=OK;method2=OK
132,no_counterexample_found,1418,125,
133,no_counterexample_found,1275,125,
134,no_counterexample_found,1176,125,
135,difference_existing_test,1179,125,candidate_index=34;method1=OK;method2=OK
136,no_counterexample_found,1061,50,
137,no_counterexample_found,1081,50,
138,difference_existing_test,1163,125,candidate_index=39;method1=OK;method2=OK
139,difference_existing_test,1046,15,candidate_index=3;method1=OK;method2=OK
140,no_counterexample_found,973,5,
141,no_counterexample_found,1184,113,
142,difference_existing_test,1008,36,candidate_index=0;method1=OK;method2=OK
143,no_counterexample_found,1171,50,
144,no_counterexample_found,1139,81,
145,no_counterexample_found,1141,81,
146,no_counterexample_found,1138,81,
147,no_counterexample_found,1109,81,
148,no_counterexample_found,1179,81,
149,no_counterexample_found,1168,81,
150,no_counterexample_found,1157,81,
151,no_counterexample_found,1130,81,
152,no_counterexample_found,1144,81,
153,no_counterexample_found,1144,81,
154,no_counterexample_found,1150,81,
155,difference_existing_test,1128,81,candidate_index=17;method1=EX;method2=OK
156,no_counterexample_found,1124,81,
157,no_counterexample_found,1146,81,
158,no_counterexample_found,1176,81,
159,no_counterexample_found,1150,81,
160,no_counterexample_found,1145,81,
161,no_counterexample_found,1116,81,
162,no_counterexample_found,1104,81,
163,no_counterexample_found,1145,81,
164,no_counterexample_found,1166,81,
165,no_counterexample_found,1157,81,
166,no_counterexample_found,1167,81,
167,no_counterexample_found,1165,81,
168,no_counterexample_found,1138,81,
169,no_counterexample_found,1136,81,
170,no_counterexample_found,1138,81,
171,difference_existing_test,1106,81,candidate_index=17;method1=EX;method2=OK
172,no_counterexample_found,1139,81,
173,no_counterexample_found,1164,81,
174,no_counterexample_found,1118,81,
175,no_counterexample_found,1116,81,
176,no_counterexample_found,1113,81,
177,no_counterexample_found,1120,81,
178,no_counterexample_found,1145,81,
179,no_counterexample_found,1156,81,
180,no_counterexample_found,1171,81,
181,no_counterexample_found,1142,81,
182,no_counterexample_found,1140,81,
183,no_counterexample_found,1137,81,
184,no_counterexample_found,1151,81,
185,no_counterexample_found,1129,81,
186,no_counterexample_found,1162,81,
187,difference_existing_test,1091,81,candidate_index=1;method1=OK;method2=OK
188,no_counterexample_found,1106,81,
189,no_counterexample_found,1162,81,
190,no_counterexample_found,1153,81,
191,no_counterexample_found,1155,81,
192,no_counterexample_found,1131,81,
193,no_counterexample_found,1127,81,
194,no_counterexample_found,1107,81,
195,no_counterexample_found,1142,81,
196,no_counterexample_found,1134,81,
197,no_counterexample_found,1107,81,
198,no_counterexample_found,1161,81,
199,no_counterexample_found,1128,81,
200,no_counterexample_found,1118,81,
201,no_counterexample_found,1137,81,
202,no_counterexample_found,1280,81,
203,no_counterexample_found,1154,81,
204,no_counterexample_found,1118,81,
205,no_counterexample_found,1155,81,
206,no_counterexample_found,1131,81,
207,no_counterexample_found,1150,81,
208,no_counterexample_found,1123,81,
209,no_counterexample_found,1109,81,
210,no_counterexample_found,1153,81,
211,no_counterexample_found,1127,81,
212,no_counterexample_found,1141,81,
213,no_counterexample_found,1113,81,
214,no_counterexample_found,1126,81,
215,no_counterexample_found,1130,81,
216,no_counterexample_found,1154,81,
217,no_counterexample_found,1161,81,
218,no_counterexample_found,1171,81,
219,no_counterexample_found,1156,81,
220,no_counterexample_found,1146,81,
221,no_counterexample_found,1114,81,
222,no_counterexample_found,1175,81,
223,no_counterexample_found,1113,81,
224,no_counterexample_found,1137,81,
225,no_counterexample_found,1135,81,
226,no_counterexample_found,1171,81,
227,no_counterexample_found,1254,81,
228,no_counterexample_found,1226,81,
229,no_counterexample_found,1193,81,
230,no_counterexample_found,1146,81,
231,no_counterexample_found,1154,81,
232,no_counterexample_found,1177,81,
233,no_counterexample_found,1159,81,
234,no_counterexample_found,1189,81,
235,no_counterexample_found,1187,81,
236,difference_existing_test,1298,81,candidate_index=63;method1=OK;method2=OK
237,no_counterexample_found,1234,81,
238,difference_existing_test,1143,81,candidate_index=1;method1=OK;method2=OK
239,difference_existing_test,1108,81,candidate_index=1;method1=OK;method2=OK
240,difference_existing_test,1170,81,candidate_index=1;method1=OK;method2=OK
241,difference_existing_test,1121,81,candidate_index=1;method1=OK;method2=OK
242,difference_existing_test,1143,81,candidate_index=1;method1=OK;method2=OK
243,difference_existing_test,1111,81,candidate_index=1;method1=OK;method2=OK
244,difference_existing_test,1120,81,candidate_index=1;method1=OK;method2=OK
245,difference_existing_test,1135,81,candidate_index=1;method1=OK;method2=OK
246,difference_existing_test,1111,81,candidate_index=1;method1=OK;method2=OK
247,difference_existing_test,1140,81,candidate_index=1;method1=OK;method2=OK
248,difference_existing_test,1145,81,candidate_index=1;method1=OK;method2=OK
249,difference_existing_test,1101,81,candidate_index=1;method1=OK;method2=OK
250,difference_existing_test,1117,81,candidate_index=1;method1=OK;method2=OK
251,difference_existing_test,1116,81,candidate_index=1;method1=OK;method2=OK
252,difference_existing_test,1114,81,candidate_index=1;method1=OK;method2=OK
253,difference_existing_test,1120,81,candidate_index=1;method1=OK;method2=OK
254,difference_existing_test,1129,81,candidate_index=1;method1=OK;method2=OK
255,difference_existing_test,1099,81,candidate_index=1;method1=OK;method2=OK
256,difference_existing_test,1091,81,candidate_index=1;method1=OK;method2=OK
257,difference_existing_test,1119,81,candidate_index=1;method1=OK;method2=OK
258,difference_existing_test,1097,81,candidate_index=1;method1=OK;method2=OK
259,difference_existing_test,1115,81,candidate_index=1;method1=OK;method2=OK
260,difference_existing_test,1141,81,candidate_index=1;method1=OK;method2=OK
261,difference_existing_test,1103,81,candidate_index=1;method1=OK;method2=OK
262,difference_existing_test,1097,81,candidate_index=1;method1=OK;method2=OK
263,difference_existing_test,1120,81,candidate_index=1;method1=OK;method2=OK
264,difference_existing_test,1130,81,candidate_index=1;method1=OK;method2=OK
265,difference_existing_test,1096,81,candidate_index=1;method1=OK;method2=OK
266,difference_existing_test,1132,81,candidate_index=1;method1=OK;method2=OK
267,difference_existing_test,1106,81,candidate_index=1;method1=OK;method2=OK
268,difference_existing_test,1111,81,candidate_index=1;method1=OK;method2=OK
269,difference_existing_test,1115,81,candidate_index=1;method1=OK;method2=OK
270,difference_existing_test,1144,81,candidate_index=1;method1=OK;method2=OK
271,difference_existing_test,1095,81,candidate_index=1;method1=OK;method2=OK
272,difference_existing_test,1134,81,candidate_index=1;method1=OK;method2=OK
273,difference_existing_test,1097,81,candidate_index=1;method1=OK;method2=OK
274,difference_existing_test,1140,81,candidate_index=1;method1=OK;method2=OK
275,difference_existing_test,1103,81,candidate_index=1;method1=OK;method2=OK
276,difference_existing_test,1103,81,candidate_index=1;method1=OK;method2=OK
277,difference_existing_test,1121,81,candidate_index=1;method1=OK;method2=OK
278,difference_existing_test,1117,81,candidate_index=1;method1=OK;method2=OK
279,difference_existing_test,1117,81,candidate_index=1;method1=OK;method2=OK
280,difference_existing_test,1115,81,candidate_index=1;method1=OK;method2=OK
281,no_counterexample_found,1150,81,
282,difference_existing_test,1114,81,candidate_index=1;method1=OK;method2=OK
283,no_counterexample_found,1153,81,
284,difference_existing_test,1112,81,candidate_index=1;method1=OK;method2=OK
285,no_counterexample_found,1150,81,
286,no_counterexample_found,1174,81,
287,no_counterexample_found,1149,81,
288,no_counterexample_found,1151,81,
289,no_counterexample_found,1184,81,
290,no_counterexample_found,1116,81,
291,no_counterexample_found,1153,81,
292,no_counterexample_found,1139,81,
293,no_counterexample_found,1159,81,
294,no_counterexample_found,1132,81,
295,no_counterexample_found,1146,81,
296,no_counterexample_found,1143,81,
297,no_counterexample_found,1160,81,
298,no_counterexample_found,1140,81,
299,no_counterexample_found,1129,81,
300,no_counterexample_found,1179,81,
301,no_counterexample_found,1401,81,
302,no_counterexample_found,1294,81,
303,no_counterexample_found,1162,81,
304,no_counterexample_found,1165,81,
305,no_counterexample_found,1203,81,
306,no_counterexample_found,1279,81,
307,no_counterexample_found,1170,81,
308,no_counterexample_found,1182,81,
309,no_counterexample_found,1168,81,
