class_id,status,elapsed_ms,candidate_count,detail
10011,no_counterexample_found,1570,125,
10012,no_counterexample_found,1288,125,
10013,no_counterexample_found,1413,125,
10014,no_counterexample_found,1463,125,
10015,no_counterexample_found,1458,125,
10016,difference_test_written,1271,53,candidate_index=0;method1=OK;method2=OK
10017,no_counterexample_found,1181,7,
10018,no_counterexample_found,1130,7,
10019,no_counterexample_found,1292,125,
10020,no_counterexample_found,1378,125,
10021,no_counterexample_found,1364,125,
10022,no_counterexample_found,1214,56,
10023,no_counterexample_found,1198,43,
10024,no_counterexample_found,1420,125,
10025,no_counterexample_found,1121,7,
10026,no_counterexample_found,1306,36,
10027,no_counterexample_found,1374,125,
10028,no_counterexample_found,1047,7,
10029,difference_test_written,1139,53,candidate_index=0;method1=OK;method2=OK
10030,difference_test_written,1174,53,candidate_index=0;method1=OK;method2=OK
10031,no_counterexample_found,1141,7,
10032,difference_test_written,1229,53,candidate_index=0;method1=OK;method2=OK
10033,no_counterexample_found,1199,43,
10034,no_counterexample_found,1329,125,
10035,no_counterexample_found,1322,125,
10036,no_counterexample_found,1514,125,
10037,no_counterexample_found,1398,125,
10038,no_counterexample_found,1434,125,
10039,no_counterexample_found,1331,125,
10040,no_counterexample_found,1455,125,
10041,no_counterexample_found,1439,125,
10042,no_counterexample_found,1426,125,
10043,no_counterexample_found,1483,125,
10044,no_counterexample_found,1339,7,
10045,no_counterexample_found,1485,125,
10046,no_counterexample_found,1377,125,
10047,no_counterexample_found,1154,7,
10048,no_counterexample_found,1226,7,
10049,no_counterexample_found,1099,7,
10050,no_counterexample_found,1051,7,
10051,no_counterexample_found,1342,125,
10052,no_counterexample_found,1243,125,
10053,no_counterexample_found,1024,7,
10054,no_counterexample_found,1014,7,
10055,no_counterexample_found,1679,265,
10056,no_counterexample_found,1140,7,
10057,no_counterexample_found,1101,7,
10058,no_counterexample_found,1422,125,
10059,no_counterexample_found,1405,125,
10060,no_counterexample_found,1064,7,
10061,no_counterexample_found,1395,125,
10062,no_counterexample_found,1305,125,
10063,no_counterexample_found,1294,125,
10064,no_counterexample_found,1373,125,
10065,no_counterexample_found,1288,125,
10066,no_counterexample_found,1308,125,
10067,no_counterexample_found,1380,125,
10068,no_counterexample_found,1435,125,
10069,no_counterexample_found,1373,125,
10070,no_counterexample_found,1357,125,
10071,no_counterexample_found,1248,125,
10072,difference_test_written,1067,10,candidate_index=0;method1=OK;method2=OK
10073,difference_test_written,1098,10,candidate_index=0;method1=OK;method2=OK
10074,difference_test_written,1272,10,candidate_index=0;method1=OK;method2=OK
10075,difference_test_written,1217,10,candidate_index=0;method1=OK;method2=OK
10076,difference_test_written,1154,10,candidate_index=0;method1=OK;method2=OK
10077,difference_test_written,1058,10,candidate_index=0;method1=OK;method2=OK
10078,difference_test_written,1127,10,candidate_index=0;method1=OK;method2=OK
10079,difference_test_written,1053,10,candidate_index=0;method1=OK;method2=OK
10080,difference_test_written,1070,10,candidate_index=0;method1=OK;method2=OK
10081,difference_test_written,1091,10,candidate_index=0;method1=OK;method2=OK
10082,difference_test_written,1118,10,candidate_index=0;method1=OK;method2=OK
10083,difference_test_written,1223,10,candidate_index=0;method1=OK;method2=OK
10084,difference_test_written,1207,10,candidate_index=0;method1=OK;method2=OK
10085,difference_test_written,1261,10,candidate_index=0;method1=OK;method2=OK
10086,difference_test_written,1305,10,candidate_index=0;method1=OK;method2=OK
10087,difference_test_written,1154,10,candidate_index=0;method1=OK;method2=OK
10088,difference_test_written,1057,10,candidate_index=0;method1=OK;method2=OK
10089,difference_test_written,1221,10,candidate_index=0;method1=OK;method2=OK
10090,difference_test_written,1335,125,candidate_index=86;method1=OK;method2=OK
10091,difference_test_written,1329,125,candidate_index=86;method1=OK;method2=OK
10092,difference_test_written,1273,125,candidate_index=85;method1=OK;method2=OK
10093,no_counterexample_found,1356,52,
10094,no_counterexample_found,1246,43,
10095,no_counterexample_found,1312,43,
10096,no_counterexample_found,1283,43,
10097,no_counterexample_found,1172,10,
10098,no_counterexample_found,1472,52,
10099,no_counterexample_found,1191,43,
10100,no_counterexample_found,1094,10,
10101,no_counterexample_found,1114,10,
10102,no_counterexample_found,1085,10,
10103,no_counterexample_found,1075,10,
10104,difference_test_written,1299,52,candidate_index=3;method1=OK;method2=OK
10105,no_counterexample_found,1132,10,
10106,no_counterexample_found,1096,10,
10107,no_counterexample_found,1200,52,
10108,no_counterexample_found,1096,10,
10109,no_counterexample_found,1196,10,
10110,no_counterexample_found,1277,10,
10111,no_counterexample_found,1257,10,
10112,difference_test_written,1311,53,candidate_index=1;method1=OK;method2=OK
10113,no_counterexample_found,1137,10,
10114,no_counterexample_found,1289,10,
10115,difference_test_written,1188,52,candidate_index=0;method1=OK;method2=OK
10116,difference_test_written,1373,52,candidate_index=0;method1=OK;method2=OK
10117,no_counterexample_found,1129,10,
10118,no_counterexample_found,1112,10,
10119,no_counterexample_found,1281,7,
10120,no_counterexample_found,1205,7,
10121,no_counterexample_found,1288,10,
10122,difference_test_written,1338,10,candidate_index=2;method1=OK;method2=OK
10123,no_counterexample_found,1493,73,
10124,difference_test_written,1201,10,candidate_index=2;method1=OK;method2=OK
10125,no_counterexample_found,1200,42,
10126,difference_test_written,1029,10,candidate_index=2;method1=OK;method2=OK
10127,difference_test_written,1155,52,candidate_index=0;method1=OK;method2=OK
10128,no_counterexample_found,1208,52,
10129,no_counterexample_found,1188,43,
10130,no_counterexample_found,1138,7,
10131,no_counterexample_found,1247,43,
10132,no_counterexample_found,1368,73,
10133,no_counterexample_found,1303,52,
10134,no_counterexample_found,1389,81,
10135,difference_test_written,1166,7,candidate_index=0;method1=OK;method2=OK
10136,no_counterexample_found,1289,52,
10137,no_counterexample_found,1210,43,
10138,no_counterexample_found,1062,7,
10139,no_counterexample_found,1091,7,
10140,no_counterexample_found,1120,7,
10141,no_counterexample_found,1324,52,
10142,no_counterexample_found,1260,52,
10143,no_counterexample_found,1406,35,
10144,no_counterexample_found,1367,52,
10145,no_counterexample_found,1300,52,
10146,difference_test_written,1327,53,candidate_index=0;method1=OK;method2=OK
10147,no_counterexample_found,1249,7,
10148,no_counterexample_found,1252,52,
10149,no_counterexample_found,1089,7,
10150,difference_test_written,1159,52,candidate_index=0;method1=OK;method2=OK
10151,no_counterexample_found,1283,125,
10152,no_counterexample_found,1406,125,
10153,difference_test_written,1331,52,candidate_index=3;method1=OK;method2=OK
10154,no_counterexample_found,1291,7,
10155,no_counterexample_found,1184,7,
10156,no_counterexample_found,1481,125,
10157,no_counterexample_found,1543,125,
10158,no_counterexample_found,1512,125,
10159,difference_test_written,1410,52,candidate_index=0;method1=OK;method2=OK
10160,difference_test_written,1267,52,candidate_index=0;method1=OK;method2=OK
10161,no_counterexample_found,1341,125,
10162,no_counterexample_found,1264,125,
10163,no_counterexample_found,1311,125,
10164,no_counterexample_found,1417,125,
10165,no_counterexample_found,1316,90,
10166,no_counterexample_found,1103,7,
10167,no_counterexample_found,1542,125,
10168,no_counterexample_found,1306,7,
10169,no_counterexample_found,1333,43,
10170,no_counterexample_found,1111,7,
10171,no_counterexample_found,1227,43,
10172,no_counterexample_found,1061,7,
10173,no_counterexample_found,1506,125,
10174,no_counterexample_found,1011,10,
10175,no_counterexample_found,1220,90,
10176,no_counterexample_found,1233,52,
10177,difference_test_written,1237,90,candidate_index=46;method1=OK;method2=OK
10178,difference_test_written,1249,52,candidate_index=0;method1=OK;method2=OK
10179,no_counterexample_found,1073,10,
10180,no_counterexample_found,1495,90,
10181,no_counterexample_found,1481,125,
10182,difference_test_written,1388,90,candidate_index=46;method1=OK;method2=OK
10183,no_counterexample_found,1125,7,
10184,no_counterexample_found,1129,7,
10185,no_counterexample_found,1312,90,
10186,no_counterexample_found,1307,52,
10187,no_counterexample_found,1281,43,
10188,no_counterexample_found,1223,90,
10189,no_counterexample_found,1391,90,
10190,no_counterexample_found,1130,10,
10191,no_counterexample_found,1149,7,
10192,no_counterexample_found,1309,7,
10193,no_counterexample_found,1398,7,
10194,no_counterexample_found,1239,7,
10195,no_counterexample_found,1266,7,
10196,no_counterexample_found,1373,125,
10197,no_counterexample_found,1268,125,
10198,no_counterexample_found,1318,125,
10199,no_counterexample_found,1212,10,
10200,no_counterexample_found,1056,7,
10201,no_counterexample_found,1389,125,
10202,no_counterexample_found,1449,125,
10203,no_counterexample_found,1429,125,
10204,no_counterexample_found,1243,7,
10205,no_counterexample_found,1359,125,
10206,difference_test_written,1235,10,candidate_index=2;method1=OK;method2=OK
10207,no_counterexample_found,1079,10,
10208,no_counterexample_found,1186,10,
10209,no_counterexample_found,1342,125,
10210,no_counterexample_found,1165,10,
10211,no_counterexample_found,1128,10,
10212,no_counterexample_found,1099,10,
10213,no_counterexample_found,1059,10,
10214,no_counterexample_found,1100,10,
10215,no_counterexample_found,1176,10,
10216,no_counterexample_found,1236,10,
10217,no_counterexample_found,1347,10,
10218,no_counterexample_found,1149,10,
10219,no_counterexample_found,1129,10,
10220,no_counterexample_found,1060,7,
10221,no_counterexample_found,1135,10,
10222,no_counterexample_found,1088,10,
10223,no_counterexample_found,1128,10,
10224,difference_test_written,1195,10,candidate_index=2;method1=OK;method2=OK
10225,no_counterexample_found,1110,7,
10226,difference_test_written,1140,10,candidate_index=2;method1=OK;method2=OK
10227,difference_test_written,1099,10,candidate_index=2;method1=OK;method2=OK
