class_id,status,difference_kind,case_count,case_label,logical_args,method1_status,method2_status,method1_exception_class,method2_exception_class,error
72,no_difference,,4,,[],,,,,
97,no_difference,,1,,[],,,,,
42,no_difference,,4,,[],,,,,
59,no_difference,,4,,[],,,,,
3,no_difference,,9,,[],,,,,
58,no_difference,,4,,[],,,,,
68,no_difference,,3,,[],,,,,
75,no_difference,,7,,[],,,,,
40,no_difference,,4,,[],,,,,
22,no_difference,,4,,[],,,,,
69,no_difference,,6,,[],,,,,
50,no_difference,,4,,[],,,,,
99,no_difference,,5,,[],,,,,
98,no_difference,,1,,[],,,,,
141,no_difference,,4,,[],,,,,
129,no_difference,,10,,[],,,,,
100,no_difference,,1,,[],,,,,
133,no_difference,,10,,[],,,,,
144,no_difference,,3,,[],,,,,
368,no_difference,,3,,[],,,,,
369,no_difference,,3,,[],,,,,
518,no_difference,,3,,[],,,,,
460,no_difference,,3,,[],,,,,
113,no_difference,,10,,[],,,,,
523,no_difference,,3,,[],,,,,
702,no_difference,,3,,[],,,,,
618,no_difference,,3,,[],,,,,
891,no_difference,,1,,[],,,,,
743,no_difference,,4,,[],,,,,
747,no_difference,,4,,[],,,,,
849,no_difference,,1,,[],,,,,
909,no_difference,,9,,[],,,,,
920,no_difference,,1,,[],,,,,
921,no_difference,,3,,[],,,,,
939,no_difference,,1,,[],,,,,
924,no_difference,,1,,[],,,,,
922,no_difference,,1,,[],,,,,
957,no_difference,,7,,[],,,,,
952,no_difference,,4,,[],,,,,
933,no_difference,,1,,[],,,,,
958,no_difference,,3,,[],,,,,
1004,no_difference,,3,,[],,,,,
955,no_difference,,4,,[],,,,,
1052,no_difference,,3,,[],,,,,
1098,no_difference,,3,,[],,,,,
1163,no_difference,,1,,[],,,,,
1065,no_difference,,3,,[],,,,,
1209,no_difference,,3,,[],,,,,
1111,no_difference,,1,,[],,,,,
1176,no_difference,,3,,[],,,,,
1175,no_difference,,3,,[],,,,,
1295,no_difference,,1,,[],,,,,
1460,no_difference,,1,,[],,,,,
1297,no_difference,,3,,[],,,,,
1445,no_difference,,1,,[],,,,,
1444,no_difference,,3,,[],,,,,
1501,no_difference,,1,,[],,,,,
1530,no_difference,,1,,[],,,,,
1499,no_difference,,1,,[],,,,,
1509,no_difference,,1,,[],,,,,
1488,no_difference,,3,,[],,,,,
1535,no_difference,,3,,[],,,,,
1546,no_difference,,7,,[],,,,,
1632,no_difference,,1,,[],,,,,
1560,no_difference,,1,,[],,,,,
1629,no_difference,,3,,[],,,,,
1662,no_difference,,1,,[],,,,,
1719,no_difference,,3,,[],,,,,
1733,no_difference,,3,,[],,,,,
1781,no_difference,,3,,[],,,,,
1812,no_difference,,1,,[],,,,,
1818,no_difference,,3,,[],,,,,
1736,no_difference,,3,,[],,,,,
1830,no_difference,,3,,[],,,,,
1879,no_difference,,3,,[],,,,,
1923,no_difference,,1,,[],,,,,
1921,no_difference,,1,,[],,,,,
1839,no_difference,,3,,[],,,,,
1906,no_difference,,1,,[],,,,,
1925,no_difference,,1,,[],,,,,
1930,no_difference,,1,,[],,,,,
1931,no_difference,,1,,[],,,,,
1939,no_difference,,3,,[],,,,,
2025,no_difference,,1,,[],,,,,
1964,no_difference,,3,,[],,,,,
2050,no_difference,,3,,[],,,,,
2085,no_difference,,3,,[],,,,,
2059,no_difference,,3,,[],,,,,
2222,no_difference,,1,,[],,,,,
2167,no_difference,,3,,[],,,,,
2123,no_difference,,1,,[],,,,,
2170,no_difference,,3,,[],,,,,
2176,no_difference,,1,,[],,,,,
2219,no_difference,,3,,[],,,,,
2300,no_difference,,1,,[],,,,,
2245,no_difference,,3,,[],,,,,
2267,no_difference,,1,,[],,,,,
2328,no_difference,,1,,[],,,,,
2325,no_difference,,3,,[],,,,,
2356,no_difference,,3,,[],,,,,
2398,no_difference,,1,,[],,,,,
2468,no_difference,,3,,[],,,,,
2378,no_difference,,3,,[],,,,,
2491,no_difference,,3,,[],,,,,
2436,no_difference,,1,,[],,,,,
2478,no_difference,,1,,[],,,,,
2520,no_difference,,4,,[],,,,,
2507,no_difference,,4,,[],,,,,
2518,no_difference,,4,,[],,,,,
2528,no_difference,,3,,[],,,,,
2568,no_difference,,3,,[],,,,,
2599,no_difference,,1,,[],,,,,
2669,no_difference,,1,,[],,,,,
2645,no_difference,,1,,[],,,,,
2704,no_difference,,3,,[],,,,,
2676,no_difference,,9,,[],,,,,
2681,no_difference,,1,,[],,,,,
2667,no_difference,,3,,[],,,,,
2723,no_difference,,12,,[],,,,,
2751,no_difference,,1,,[],,,,,
2715,no_difference,,3,,[],,,,,
2741,no_difference,,4,,[],,,,,
2776,no_difference,,3,,[],,,,,
2848,no_difference,,3,,[],,,,,
2829,no_difference,,3,,[],,,,,
2885,no_difference,,3,,[],,,,,
2763,no_difference,,3,,[],,,,,
2898,no_difference,,1,,[],,,,,
2788,no_difference,,3,,[],,,,,
2804,no_difference,,4,,[],,,,,
2922,no_difference,,4,,[],,,,,
2903,no_difference,,3,,[],,,,,
2950,no_difference,,3,,[],,,,,
2976,no_difference,,3,,[],,,,,
2953,no_difference,,3,,[],,,,,
2939,no_difference,,3,,[],,,,,
2987,no_difference,,9,,[],,,,,
2969,no_difference,,3,,[],,,,,
2965,no_difference,,3,,[],,,,,
2998,no_difference,,3,,[],,,,,
2988,no_difference,,3,,[],,,,,
3016,no_difference,,9,,[],,,,,
3023,no_difference,,3,,[],,,,,
3015,no_difference,,3,,[],,,,,
3042,no_difference,,3,,[],,,,,
3068,no_difference,,1,,[],,,,,
3044,no_difference,,3,,[],,,,,
3069,no_difference,,1,,[],,,,,
