class_id,status,difference_kind,case_count,case_label,logical_args,method1_status,method2_status,method1_exception_class,method2_exception_class,error
6013,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6015,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6011,no_difference,,3,,[],,,,,
6016,no_difference,,3,,[],,,,,
6008,no_difference,,3,,[],,,,,
5995,difference_found,timeout,7,shared_0_1,"[""sharedValue"", ""sharedValue""]",TIMEOUT,OK,,,
5998,difference_found,timeout,7,shared_0_1,"[""sharedValue"", ""sharedValue""]",OK,TIMEOUT,,,
5996,no_difference,,7,,[],,,,,
6017,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6020,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6022,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6018,no_difference,,3,,[],,,,,
6021,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6023,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6019,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6025,no_difference,,3,,[],,,,,
6029,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6027,no_difference,,3,,[],,,,,
6033,no_difference,,3,,[],,,,,
6031,no_difference,,3,,[],,,,,
6032,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6034,no_difference,,3,,[],,,,,
6035,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6036,no_difference,,3,,[],,,,,
6038,no_difference,,3,,[],,,,,
6037,no_difference,,3,,[],,,,,
6039,no_difference,,3,,[],,,,,
6041,no_difference,,3,,[],,,,,
6043,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6042,no_difference,,3,,[],,,,,
6040,no_difference,,3,,[],,,,,
6045,no_difference,,3,,[],,,,,
6046,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6047,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6051,no_difference,,3,,[],,,,,
6052,no_difference,,3,,[],,,,,
6049,no_difference,,3,,[],,,,,
6050,no_difference,,3,,[],,,,,
6048,no_difference,,3,,[],,,,,
6053,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6056,no_difference,,3,,[],,,,,
6060,no_difference,,3,,[],,,,,
6054,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6063,no_difference,,3,,[],,,,,
6059,no_difference,,3,,[],,,,,
6061,no_difference,,3,,[],,,,,
6058,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6057,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6066,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6064,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6062,no_difference,,3,,[],,,,,
6071,no_difference,,3,,[],,,,,
6068,no_difference,,3,,[],,,,,
6070,no_difference,,3,,[],,,,,
6067,no_difference,,3,,[],,,,,
6069,no_difference,,3,,[],,,,,
6072,no_difference,,3,,[],,,,,
6073,no_difference,,3,,[],,,,,
6074,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6078,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6076,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6075,no_difference,,3,,[],,,,,
6077,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6080,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6081,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6082,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6079,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6089,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6091,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6085,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6088,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6086,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6083,no_difference,,3,,[],,,,,
6087,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6090,no_difference,,3,,[],,,,,
6093,no_difference,,3,,[],,,,,
6096,no_difference,,3,,[],,,,,
6099,no_difference,,3,,[],,,,,
6092,no_difference,,3,,[],,,,,
6100,no_difference,,3,,[],,,,,
6098,no_difference,,3,,[],,,,,
6094,no_difference,,3,,[],,,,,
6101,no_difference,,3,,[],,,,,
6103,no_difference,,3,,[],,,,,
6106,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6105,no_difference,,3,,[],,,,,
6102,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6107,no_difference,,3,,[],,,,,
6108,no_difference,,3,,[],,,,,
6109,no_difference,,3,,[],,,,,
6110,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6112,difference_found,return,3,distinct_equal_0_1,"[""leftValue"", ""rightValue""]",OK,OK,,,
6111,no_difference,,3,,[],,,,,
