class_id,status,difference_kind,case_count,case_label,logical_args,method1_status,method2_status,method1_exception_class,method2_exception_class,error
21,no_difference,,4,,[],,,,,
6,no_difference,,4,,[],,,,,
19,no_difference,,4,,[],,,,,
28,no_difference,,4,,[],,,,,
15,no_difference,,4,,[],,,,,
18,no_difference,,4,,[],,,,,
20,no_difference,,4,,[],,,,,
25,no_difference,,4,,[],,,,,
27,no_difference,,4,,[],,,,,
24,no_difference,,4,,[],,,,,
17,no_difference,,4,,[],,,,,
23,no_difference,,4,,[],,,,,
31,no_difference,,4,,[],,,,,
39,no_difference,,4,,[],,,,,
43,no_difference,,4,,[],,,,,
37,no_difference,,4,,[],,,,,
29,no_difference,,4,,[],,,,,
30,no_difference,,4,,[],,,,,
45,no_difference,,4,,[],,,,,
38,no_difference,,4,,[],,,,,
41,no_difference,,4,,[],,,,,
47,no_difference,,4,,[],,,,,
44,no_difference,,4,,[],,,,,
46,no_difference,,4,,[],,,,,
60,no_difference,,4,,[],,,,,
49,no_difference,,4,,[],,,,,
48,no_difference,,4,,[],,,,,
55,no_difference,,6,,[],,,,,
63,no_difference,,4,,[],,,,,
51,no_difference,,4,,[],,,,,
71,no_difference,,6,,[],,,,,
70,no_difference,,6,,[],,,,,
64,no_difference,,4,,[],,,,,
52,no_difference,,4,,[],,,,,
57,no_difference,,4,,[],,,,,
61,no_difference,,6,,[],,,,,
76,no_difference,,7,,[],,,,,
77,no_difference,,7,,[],,,,,
95,no_difference,,4,,[],,,,,
82,no_difference,,9,,[],,,,,
80,no_difference,,9,,[],,,,,
91,no_difference,,4,,[],,,,,
121,no_difference,,10,,[],,,,,
87,no_difference,,9,,[],,,,,
81,no_difference,,9,,[],,,,,
102,no_difference,,10,,[],,,,,
103,no_difference,,10,,[],,,,,
122,no_difference,,10,,[],,,,,
123,no_difference,,10,,[],,,,,
150,no_difference,,3,,[],,,,,
154,no_difference,,3,,[],,,,,
136,no_difference,,6,,[],,,,,
124,no_difference,,10,,[],,,,,
130,no_difference,,10,,[],,,,,
152,no_difference,,3,,[],,,,,
147,no_difference,,3,,[],,,,,
148,no_difference,,3,,[],,,,,
146,no_difference,,3,,[],,,,,
151,no_difference,,3,,[],,,,,
153,no_difference,,3,,[],,,,,
156,no_difference,,3,,[],,,,,
157,no_difference,,3,,[],,,,,
159,no_difference,,3,,[],,,,,
160,no_difference,,3,,[],,,,,
162,no_difference,,3,,[],,,,,
158,no_difference,,3,,[],,,,,
161,no_difference,,3,,[],,,,,
167,no_difference,,3,,[],,,,,
165,no_difference,,3,,[],,,,,
163,no_difference,,3,,[],,,,,
164,no_difference,,3,,[],,,,,
166,no_difference,,3,,[],,,,,
168,no_difference,,3,,[],,,,,
172,no_difference,,3,,[],,,,,
169,no_difference,,3,,[],,,,,
174,no_difference,,3,,[],,,,,
176,no_difference,,3,,[],,,,,
173,no_difference,,3,,[],,,,,
177,no_difference,,3,,[],,,,,
178,no_difference,,3,,[],,,,,
181,no_difference,,3,,[],,,,,
179,no_difference,,3,,[],,,,,
175,no_difference,,3,,[],,,,,
180,no_difference,,3,,[],,,,,
182,no_difference,,3,,[],,,,,
188,no_difference,,3,,[],,,,,
186,no_difference,,3,,[],,,,,
185,no_difference,,3,,[],,,,,
184,no_difference,,3,,[],,,,,
189,no_difference,,3,,[],,,,,
183,no_difference,,3,,[],,,,,
191,no_difference,,3,,[],,,,,
190,no_difference,,3,,[],,,,,
192,no_difference,,3,,[],,,,,
194,no_difference,,3,,[],,,,,
196,no_difference,,3,,[],,,,,
195,no_difference,,3,,[],,,,,
197,no_difference,,3,,[],,,,,
198,no_difference,,3,,[],,,,,
199,no_difference,,3,,[],,,,,
200,no_difference,,3,,[],,,,,
204,no_difference,,3,,[],,,,,
201,no_difference,,3,,[],,,,,
205,no_difference,,3,,[],,,,,
207,no_difference,,3,,[],,,,,
206,no_difference,,3,,[],,,,,
203,no_difference,,3,,[],,,,,
202,no_difference,,3,,[],,,,,
208,no_difference,,3,,[],,,,,
209,no_difference,,3,,[],,,,,
213,no_difference,,3,,[],,,,,
210,no_difference,,3,,[],,,,,
215,no_difference,,3,,[],,,,,
216,no_difference,,3,,[],,,,,
214,no_difference,,3,,[],,,,,
212,no_difference,,3,,[],,,,,
211,no_difference,,3,,[],,,,,
217,no_difference,,3,,[],,,,,
219,no_difference,,3,,[],,,,,
218,no_difference,,3,,[],,,,,
